list,Direction,Stop Name,Latitude,Longitude,Name-en-normalized,UID,map link
brts stops,Down,Dattamandir Vimannagar,18.565275,73.914012,Dattamandir Vimannagar,,http://maps.google.com/?q=loc:18.565275,73.914012
brts stops,UP,Dattamandir Wadgaonsheri,18.54681,73.921389,Dattamandir Wadgaonsheri,,http://maps.google.com/?q=loc:18.54681,73.921389
brts stops,Down,Dattamandir Wadgaonsheri,18.546513,73.921381,Dattamandir Wadgaonsheri,,http://maps.google.com/?q=loc:18.546513,73.921381
brts stops,UP,Dattanagar Alandi Road,18.622081,73.874074,Dattanagar Alandi Road,,http://maps.google.com/?q=loc:18.622081,73.874074
brts stops,Down,Dattanagar Alandi Road,18.622537,73.874123,Dattanagar Alandi Road,,http://maps.google.com/?q=loc:18.622537,73.874123
brts stops,UP,Dattanagar Chinchwad Road,18.623257,73.774002,Dattanagar Chinchwad Road,,http://maps.google.com/?q=loc:18.623257,73.774002
brts stops,Down,Dattanagar Chinchwad Road,18.623241,73.77437,Dattanagar Chinchwad Road,,http://maps.google.com/?q=loc:18.623241,73.77437
brts stops,UP,Deccan College,18.548284,73.8717,Deccan College,,http://maps.google.com/?q=loc:18.548284,73.8717
brts stops,Down,Deccan College,18.549986,73.8718729,Deccan College,,http://maps.google.com/?q=loc:18.5499859999996,73.8718728999998
brts stops,UP,Deccan Corner,18.513473,73.840953,Deccan Corner,,http://maps.google.com/?q=loc:18.5134729999997,73.8409529999998
brts stops,Down,Deccan Corner,18.513403,73.841148,Deccan Corner,,http://maps.google.com/?q=loc:18.5134029999996,73.8411479999997
brts stops,UP,Deccan Gymkhana,18.516977,73.843265,Deccan Gymkhana,,http://maps.google.com/?q=loc:18.516977,73.843265
brts stops,Down,Deccan Gymkhana,18.516977,73.843265,Deccan Gymkhana,,http://maps.google.com/?q=loc:18.516977,73.843265
brts stops,UP,Dhayareshwar Mandir,18.44243,73.812587,Dhayareshwar Mandir,,http://maps.google.com/?q=loc:18.44243,73.812587
